episode,timestep,reward
1895,1878000,-9.019
1897,1880000,-6.6568
1899,1882000,-7.0824
1901,1884000,-7.1805
1903,1886000,-6.9756
1905,1888000,-6.4337
1907,1890000,-6.4789
1909,1892000,-6.7678
1911,1894000,-6.0849
1913,1896000,-6.578
1915,1898000,-6.4947
1917,1900000,-6.3817
1919,1902000,-7.0773
1921,1904000,-7.3448
1923,1906000,-6.8074
1925,1908000,-6.7294
1927,1910000,-6.6468
1929,1912000,-6.1745
1931,1914000,-6.3334
1933,1916000,-6.3958
1935,1918000,-6.4199
1937,1920000,-6.0121
1939,1922000,-6.1445
1941,1924000,-6.3695
1943,1926000,-6.2006
1945,1928000,-5.9627
1947,1930000,-6.3679
1949,1932000,-6.3987
1951,1934000,-6.9498
1953,1936000,-6.5955
1955,1938000,-6.0705
1957,1940000,-6.2751
1959,1942000,-6.4957
1961,1944000,-6.2313
1963,1946000,-6.1907
1965,1948000,-6.0515
1967,1950000,-6.1724
1969,1952000,-6.1999
1971,1954000,-6.7784
1973,1956000,-6.9465
1975,1958000,-54.0644
1977,1960000,-78.3353
1979,1962000,-50.1772
1981,1964000,-35.6366
1983,1966000,-21.7192
1985,1968000,-13.7846
1987,1970000,-9.9949
1989,1972000,-8.3158
1991,1974000,-21.8639
1993,1976000,-29.9835
1995,1978000,-17.3792
1997,1980000,-9.63
1999,1982000,-8.9477
2001,1984000,-8.4843
2003,1986000,-7.4307
2005,1988000,-7.145
2007,1990000,-7.189
2009,1992000,-6.8303
2011,1994000,-6.2406
2013,1996000,-6.156
2015,1998000,-6.0132
2017,2000000,-6.4383
2019,2002000,-4.7694
2021,2004000,-3.9602
2023,2006000,-3.694
2025,2008000,-4.1654
2027,2010000,-3.9779
2029,2012000,-4.1385
2031,2014000,-4.2159
2033,2016000,-4.0411
2035,2018000,-5.1392
2037,2020000,-6.0982
2039,2022000,-4.7274
2041,2024000,-4.0823
2043,2026000,-4.0802
2045,2028000,-4.3995
2047,2030000,-4.063
2049,2032000,-3.8537
2051,2034000,-4.317
2053,2036000,-4.5701
2055,2038000,-4.6245
2057,2040000,-5.0696
2059,2042000,-4.1314
2061,2044000,-4.0728
2063,2046000,-4.2478
2065,2048000,-4.4128
2067,2050000,-4.6741
2069,2052000,-5.1066
2071,2054000,-4.8653
2073,2056000,-4.5791
2075,2058000,-6.5548
2077,2060000,-7.4488
2079,2062000,-5.2624
2081,2064000,-4.6434
2083,2066000,-4.906
2085,2068000,45.5351
2088,2070000,25.0084
2090,2072000,-7.6817
2092,2074000,92.8458
2094,2076000,42.2782
2096,2078000,89.7877
2100,2080000,66.5106
2102,2082000,-25.2413
2105,2084000,-25.0979
2107,2086000,-119.4766
2109,2088000,-124.3375
2111,2090000,-267.9754
2113,2092000,-285.646
2115,2094000,-139.0685
2117,2096000,-147.0475
2119,2098000,-215.1362
2122,2100000,-68.6052
2124,2102000,-8.4642
2129,2104000,-20.1273
2133,2106000,11.7978
2137,2108000,-80.3162
2140,2110000,-210.9035
2143,2112000,-159.0243
2145,2114000,-347.8903
2147,2116000,-435.1323
2153,2118000,25.7146
2159,2120000,35.0487
2164,2122000,16.7024
2170,2124000,27.9507
2174,2126000,-56.0104
2179,2128000,0.5957
2184,2130000,16.8136
2190,2132000,23.5554
2195,2134000,48.3911
2200,2136000,57.9542
2204,2138000,41.2117
2209,2140000,42.3144
2214,2142000,58.1525
2219,2144000,63.4974
2224,2146000,52.9708
2230,2148000,59.0879
2234,2150000,59.91
2238,2152000,59.0588
2243,2154000,49.8983
