episode,timestep,reward
1007,1006000,-15.2553
1009,1008000,-15.9545
1011,1010000,-15.9496
1013,1012000,-16.3984
1015,1014000,-15.585
1017,1016000,-17.343
1019,1018000,-16.7167
1021,1020000,-15.338
1023,1022000,-15.9559
1025,1024000,-16.0585
1027,1026000,-16.1242
1029,1028000,-15.8226
1031,1030000,-16.7674
1033,1032000,-16.6347
1035,1034000,-17.6759
1037,1036000,-16.2174
1039,1038000,-15.9793
1041,1040000,-16.6433
1043,1042000,-16.1044
1045,1044000,-16.2321
1047,1046000,-16.1041
1049,1048000,-16.5714
1051,1050000,-16.2586
1053,1052000,-15.8996
1055,1054000,-19.4502
1057,1056000,-19.2041
1059,1058000,-16.0743
1061,1060000,-15.8375
1063,1062000,-16.2209
1065,1064000,-15.2079
1067,1066000,-18.5224
1069,1068000,-18.6104
1071,1070000,-16.723
1073,1072000,-16.2915
1075,1074000,-17.3967
1077,1076000,-18.4219
1079,1078000,-26.8469
1081,1080000,-28.3052
1083,1082000,-16.5383
1085,1084000,-15.6003
1087,1086000,-16.4765
1089,1088000,-16.3504
1091,1090000,-18.0867
1093,1092000,-16.8309
1095,1094000,-16.7246
1097,1096000,-16.9205
1099,1098000,-25.4368
1101,1100000,-26.6306
1103,1102000,-238.5233
1105,1104000,-255.6716
1107,1106000,-101.6903
1109,1108000,-90.989
1111,1110000,-52.9959
1113,1112000,-55.3093
1115,1114000,-21.3028
1117,1116000,-18.6031
1119,1118000,-16.0447
1121,1120000,-16.5244
1123,1122000,-16.7122
1125,1124000,-15.669
1127,1126000,-15.1526
1129,1128000,-16.0625
1131,1130000,-16.5148
1133,1132000,-16.6609
1135,1134000,-16.5595
1137,1136000,-16.1007
1139,1138000,-16.8274
1141,1140000,-17.7356
1143,1142000,-18.037
1145,1144000,-17.6594
1147,1146000,-17.6453
1149,1148000,-17.6273
1151,1150000,-18.2486
1153,1152000,-18.617
1155,1154000,-17.119
1157,1156000,-17.2039
1159,1158000,-19.6041
1161,1160000,-18.3524
1163,1162000,-16.8416
1165,1164000,-17.4277
1167,1166000,-17.0038
1169,1168000,-18.2585
1171,1170000,-16.8961
1173,1172000,-15.69
1175,1174000,-16.4505
1177,1176000,-16.3978
1179,1178000,-15.9711
1181,1180000,-15.4137
1183,1182000,-16.4631
1185,1184000,-16.0534
1187,1186000,-17.1483
1189,1188000,-17.2043
1191,1190000,-16.758
1193,1192000,-15.0852
1195,1194000,-16.267
1197,1196000,-16.1644
1199,1198000,-17.3224
1201,1200000,-17.8367
1203,1202000,-15.7457
1205,1204000,-16.0731
1207,1206000,-16.6487
1209,1208000,-16.3467
1211,1210000,-16.5936
1213,1212000,-15.9328
1215,1214000,-18.0272
1217,1216000,-17.1493
1219,1218000,-16.3717
1221,1220000,-15.8285
1223,1222000,-16.0393
1225,1224000,-15.9733
1227,1226000,-15.5947
1229,1228000,-16.0911
1231,1230000,-17.2542
1233,1232000,-16.9699
1235,1234000,-15.7999
1237,1236000,-16.3244
1239,1238000,-17.2001
1241,1240000,-17.9218
1243,1242000,-15.8175
1245,1244000,-16.6605
1247,1246000,-16.7997
1249,1248000,-15.705
1251,1250000,-16.1795
1253,1252000,-12.8061
1255,1254000,-12.5564
1257,1256000,-12.3343
1259,1258000,-12.273
1261,1260000,-12.3851
1263,1262000,-11.671
1265,1264000,-12.1871
1267,1266000,-11.8206
1269,1268000,-12.8198
1271,1270000,-113.8791
1273,1272000,-126.7445
1275,1274000,-36.8819
1277,1276000,-23.3819
1279,1278000,-15.8939
1281,1280000,-13.7382
1283,1282000,-12.7229
1285,1284000,-13.1008
1287,1286000,-12.457
1289,1288000,-12.5064
1291,1290000,-12.5889
1293,1292000,-13.2396
1295,1294000,-12.9451
1297,1296000,-12.7846
1299,1298000,-12.0647
1301,1300000,-13.3778
1303,1302000,-13.3103
1305,1304000,-14.236
1307,1306000,-12.0577
1309,1308000,-12.4517
1311,1310000,-12.2689
1313,1312000,-12.4581
1315,1314000,-12.8046
1317,1316000,-13.1762
1319,1318000,-12.3385
1321,1320000,-11.9834
1323,1322000,-13.2931
1325,1324000,-12.5182
1327,1326000,-12.7521
1329,1328000,-12.6959
1331,1330000,-11.7193
1333,1332000,-13.2553
1335,1334000,-12.7373
1337,1336000,-12.2334
1339,1338000,-11.6363
1341,1340000,-11.3934
1343,1342000,-13.0485
1345,1344000,-13.0755
1347,1346000,-12.9976
1349,1348000,-11.6645
1351,1350000,-12.2607
1353,1352000,-12.078
1355,1354000,-12.7709
1357,1356000,-13.0387
1359,1358000,-93.6664
1361,1360000,-109.7874
1363,1362000,-34.5596
1365,1364000,-18.5709
1367,1366000,-14.7416
1369,1368000,-13.8474
1371,1370000,-12.8507
1373,1372000,-12.8914
1375,1374000,-13.2902
1377,1376000,-12.7281
1379,1378000,-12.3951
1381,1380000,-12.4484
1383,1382000,-12.916
1385,1384000,-13.0241
1387,1386000,-12.6104
1389,1388000,-13.0339
1391,1390000,-12.5725
1393,1392000,-13.7767
1395,1394000,-12.8275
1397,1396000,-12.2214
1399,1398000,-13.583
1401,1400000,-13.424
1403,1402000,-12.9378
1405,1404000,-12.9107
1407,1406000,-11.9558
1409,1408000,-13.0297
1411,1410000,-12.8243
1413,1412000,-13.2308
1415,1414000,-13.1876
1417,1416000,-13.1713
1419,1418000,-11.814
1421,1420000,-12.5953
1423,1422000,-12.1737
1425,1424000,-12.6377
1427,1426000,-12.2472
1429,1428000,-12.6976
1431,1430000,-12.309
1433,1432000,-12.7478
1435,1434000,-12.9264
1437,1436000,-13.389
1439,1438000,-12.9543
1441,1440000,-13.7491
1443,1442000,-12.7359
1445,1444000,-12.5767
1447,1446000,-12.2344
1449,1448000,-12.9756
1451,1450000,-12.2395
1453,1452000,-11.6885
1455,1454000,-12.421
1457,1456000,-12.7806
1459,1458000,-12.6226
1461,1460000,-13.7122
1463,1462000,-12.8752
1465,1464000,-12.2174
1467,1466000,-12.3422
1469,1468000,-12.3748
1471,1470000,-12.1825
1473,1472000,-13.1619
1475,1474000,-12.4463
1477,1476000,-13.6715
1479,1478000,-13.7709
1481,1480000,-13.6026
1483,1482000,-12.9385
1485,1484000,-12.175
1487,1486000,-12.8983
1489,1488000,-13.1199
1491,1490000,-13.0507
1493,1492000,-12.2117
1495,1494000,-12.2082
1497,1496000,-12.1737
1499,1498000,-13.7006
1501,1500000,-13.7455
1503,1502000,-9.9886
1505,1504000,-9.7545
1507,1506000,-9.5491
1509,1508000,-9.944
1511,1510000,-9.4234
1513,1512000,-8.9187
1515,1514000,-46.8349
1517,1516000,-60.0664
1519,1518000,-36.2425
1521,1520000,-27.919
1523,1522000,-18.1659
1525,1524000,-14.8325
1527,1526000,-11.3271
1529,1528000,-9.6963
1531,1530000,-9.9874
1533,1532000,-10.4801
1535,1534000,-9.5942
1537,1536000,-9.7631
1539,1538000,-9.6173
1541,1540000,-9.5045
1543,1542000,-9.9767
1545,1544000,-9.8998
1547,1546000,-9.2399
1549,1548000,-9.9137
1551,1550000,-10.201
1553,1552000,-10.2995
1555,1554000,-9.4063
1557,1556000,-10.0766
1559,1558000,-9.0059
1561,1560000,-8.7793
1563,1562000,-9.9381
1565,1564000,-9.3234
1567,1566000,-10.7336
1569,1568000,-9.9015
1571,1570000,-10.0545
1573,1572000,-9.6668
1575,1574000,-14.8401
1577,1576000,-18.041
1579,1578000,-13.0196
1581,1580000,-9.8983
1583,1582000,-9.4779
1585,1584000,-8.6718
1587,1586000,-9.335
1589,1588000,-9.6189
1591,1590000,-9.5921
1593,1592000,-9.7378
1595,1594000,-9.0107
1597,1596000,-8.9026
1599,1598000,-9.9635
1601,1600000,-9.4621
1603,1602000,-9.4354
1605,1604000,-8.7987
1607,1606000,-9.1236
1609,1608000,-9.4734
1611,1610000,-9.8289
1613,1612000,-9.2349
1615,1614000,-9.3685
1617,1616000,-9.6086
1619,1618000,-9.4389
1621,1620000,-9.3552
1623,1622000,-9.4364
1625,1624000,-8.5628
1627,1626000,-9.5157
1629,1628000,-9.2423
1631,1630000,-9.4344
1633,1632000,-9.6089
1635,1634000,-10.0924
1637,1636000,-10.2239
1639,1638000,-9.3418
1641,1640000,-9.7855
1643,1642000,-10.2817
1645,1644000,-9.7293
1647,1646000,-10.2741
1649,1648000,-9.6882
1651,1650000,-9.6411
1653,1652000,-9.5913
1655,1654000,-8.7134
1657,1656000,-9.3957
1659,1658000,-9.2217
